UTM33_X,UTM33_Y,exposed_bedr
208511,6637140,0
208511,6637165,0
208511,6637190,0
208511,6637215,0
208511,6637240,0
208511,6637265,0
208511,6637290,0
208511,6637315,0
208511,6637340,0
208511,6637365,0
208511,6637390,0
208511,6637415,0
208511,6637440,0
208511,6637465,0
208511,6637490,0
208511,6637515,0
208511,6637540,0
208511,6637565,1
208511,6637590,1
208511,6637615,1
208511,6637640,1
208511,6637665,1
208511,6637690,1
208511,6637715,1
208511,6637740,1
208511,6637765,1
208511,6637790,1
208511,6637815,1
208511,6637840,1
208511,6637865,1
208511,6637890,1
208511,6637915,1
208511,6637940,1
208511,6637965,1
208511,6637990,1
208511,6638015,1
208511,6638040,1
208511,6638065,1
208511,6638090,1
208511,6638115,1
208511,6638140,1
208511,6638165,1
208511,6638190,1
208511,6638215,1
208511,6638240,1
208511,6638265,1
208511,6638290,1
208511,6638315,1
208511,6638340,1
208511,6638365,1
208511,6638390,1
208511,6638415,1
208511,6638440,1
208511,6638465,1
208511,6638490,1
208511,6638515,1
208511,6638540,1
208511,6638565,1
208511,6638590,1
208511,6638615,1
208511,6638640,1
208511,6638665,1
208511,6638690,1
208511,6638715,1
208511,6638740,1
208511,6638765,1
208511,6638790,1
208511,6638815,1
208511,6638840,1
208511,6638865,1
208511,6638890,1
208511,6638915,1
208511,6638940,1
208511,6638965,1
208511,6638990,1
208511,6639015,1
208511,6639040,1
208511,6639065,1
208511,6639090,1
208511,6639115,1
208511,6639140,1
208511,6639165,1
208511,6639190,1
208511,6639215,1
208511,6639240,1
208511,6639265,1
208511,6639290,0
208511,6639315,0
208511,6639340,0
208511,6639365,0
208511,6639390,0
208511,6639415,1
208511,6639440,1
208511,6639465,1
208511,6639490,1
208511,6639515,0
208511,6639540,0
208511,6639565,0
208511,6639590,0
208511,6639615,0
208511,6639640,1
208511,6639665,1
208511,6639690,1
208511,6639715,1
208511,6639740,1
208511,6639765,1
208511,6639790,1
208511,6639815,1
208511,6639840,1
208511,6639865,1
208511,6639890,1
208511,6639915,1
208511,6639940,1
208511,6639965,1
208511,6639990,1
208511,6640015,1
208511,6640040,1
208511,6640065,1
208511,6640090,1
208511,6640115,1
208511,6640140,1
208511,6640165,1
208511,6640190,1
208511,6640215,1
208511,6640240,1
208511,6640265,1
208511,6640290,1
208511,6640315,1
208511,6640340,1
208511,6640365,1
208511,6640390,1
208511,6640415,1
208511,6640440,1
208511,6640465,1
208511,6640490,1
208511,6640515,1
208511,6640540,1
208511,6640565,1
208511,6640590,1
208511,6640615,1
208511,6640640,1
208511,6640665,1
208511,6640690,1
208511,6640715,1
208511,6640740,1
